2026-06-22 09:15:57.599 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.600 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.613 [info] Excalidraw MCP server running on stdio
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.697 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.697 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.697 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.697 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.698 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.698 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.698 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.698 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.699 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.699 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.699 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.700 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.700 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.701 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.701 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.701 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.702 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.702 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.703 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.703 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.703 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.704 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.704 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.704 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.704 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.705 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.705 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.705 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.705 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.705 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.706 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.706 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.706 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.706 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.707 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.707 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.707 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.708 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.708 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.708 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.708 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.709 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.709 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.709 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.710 [error] Uncaught exception: EPIPE: broken pipe, write
